simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,20,687.0,0,119,2133,2295,2183,0.03021,0.48139,0.00021,0.01868,0.03644
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,19,1805.0,0,117,2135,2295,2189,0.02665,0.47499,0.00043,0.0167,0.03107
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,18,799.0,0,92,2160,2278,2202,0.02577,0.47141,0.0004,0.01606,0.02964
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,17,1142.0,0,112,2140,2275,2201,0.02932,0.48078,0.00033,0.0187,0.03124
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,16,1589.0,0,119,2133,2302,2184,0.02888,0.47996,0.00036,0.01817,0.03462
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,15,595.0,0,141,2111,2307,2179,0.03643,0.49418,0.00054,0.02323,0.03342
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,14,826.0,0,132,2120,2303,2183,0.02799,0.47833,0.00033,0.01739,0.0256
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,13,1725.0,0,113,2139,2302,2180,0.03199,0.4886,0.00046,0.02028,0.03052
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,12,511.0,0,115,2137,2311,2161,0.03287,0.48988,0.00074,0.02092,0.03776
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,11,422.0,0,126,2126,2282,2196,0.03199,0.48482,0.00052,0.02066,0.03717
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,10,232.0,0,121,2131,2294,2180,0.03376,0.48797,0.00068,0.02106,0.03965
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,9,350.0,0,114,2138,2300,2174,0.03243,0.49041,0.00039,0.02084,0.03387
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,8,159.0,0,112,2140,2286,2176,0.03865,0.49527,0.00049,0.02397,0.02914
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,7,1336.0,0,110,2142,2298,2190,0.0351,0.49245,0.0006,0.02215,0.03408
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,6,1710.0,0,111,2141,2288,2192,0.03865,0.49647,0.00077,0.02477,0.03315
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,5,271.0,0,118,2134,2291,2185,0.03421,0.49063,0.00024,0.02189,0.04443
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,4,1563.0,0,121,2131,2285,2201,0.03465,0.4902,0.00061,0.02237,0.03696
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,3,1020.0,0,138,2114,2276,2198,0.0311,0.48691,0.00037,0.01977,0.02733
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,2,225.0,0,116,2136,2290,2198,0.03954,0.49647,0.00047,0.0247,0.03422
BOWDOIN-COMPLEX-S1.1-Bowdoin47-erdos_renyi,20,779.52292,erdos_renyi_gnp,2252,83877,0.03309,3,3,0.1,0.3,30,,74.49112,2.0495,1,490.0,0,113,2139,2294,2186,0.03332,0.48882,0.00055,0.02132,0.03171
BOWDOIN-COMPLEX-S1.1-Bowdoin47-barabasi_albert,20,774.7183,barabasi_albert,2252,81955,0.03233,3,2,0.1,0.3,30,,72.78419,2.08286,20,1452.0,0,138,2114,2318,2172,0.0231,0.476,0.00018,0.01127,0.07014
BOWDOIN-COMPLEX-S1.1-Bowdoin47-barabasi_albert,20,774.7183,barabasi_albert,2252,81955,0.03233,3,2,0.1,0.3,30,,72.78419,2.08286,19,1264.0,0,115,2137,2297,2183,0.02355,0.46566,0.00021,0.00979,0.0566
