simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,20,356.0,0,0,1446,1509,1193,0.05744,0.51078,0.00086,0.02676,0.06641
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,19,956.0,0,0,1446,1626,1200,0.04983,0.50916,0.00041,0.02313,0.05673
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,18,887.0,0,0,1446,1586,1216,0.0526,0.50988,0.00044,0.02476,0.06912
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,17,757.0,0,0,1446,1557,1187,0.06436,0.51552,0.00088,0.02921,0.04815
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,16,584.0,0,0,1446,1580,1192,0.06021,0.51405,0.00094,0.02761,0.0548
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,15,250.0,0,0,1446,1563,1185,0.05675,0.51241,0.00045,0.02608,0.05872
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,14,539.0,0,0,1446,1584,1194,0.06505,0.51515,0.00103,0.03,0.04942
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,13,384.0,0,0,1446,1546,1174,0.05882,0.51387,0.00095,0.02749,0.06022
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,12,756.0,0,0,1446,1567,1197,0.06574,0.51644,0.00067,0.0304,0.05845
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,11,404.0,0,0,1446,1564,1184,0.0609,0.51534,0.00094,0.02807,0.05852
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,10,237.0,0,0,1446,1564,1204,0.06021,0.51442,0.00059,0.02757,0.05694
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,9,827.0,0,0,1446,1614,1212,0.04706,0.50684,0.00028,0.02178,0.05268
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,8,247.0,0,0,1446,1553,1227,0.05675,0.5135,0.00043,0.02552,0.053
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,7,1077.0,0,0,1446,1615,1197,0.05536,0.51223,0.00069,0.02579,0.05981
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,6,412.0,0,0,1446,1574,1204,0.04706,0.50898,0.00031,0.02208,0.05268
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,5,481.0,0,0,1446,1589,1223,0.05052,0.50862,0.00052,0.02305,0.05441
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,4,67.0,0,0,1446,1486,1224,0.06228,0.51589,0.0012,0.02875,0.05218
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,3,37.0,0,0,1446,1561,1193,0.06298,0.51497,0.00066,0.02872,0.0547
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,2,718.0,0,0,1446,1542,1218,0.05329,0.5106,0.00049,0.02451,0.05776
BOWDOIN-COMPLEX-S10-Haverford76-erdos_renyi,20,390.09658,erdos_renyi_gnp,1446,59386,0.05684,3,2,1.0,0.3,30,,82.13831,1.95197,1,177.0,0,0,1446,1552,1164,0.06021,0.51497,0.00074,0.02819,0.05774
BOWDOIN-COMPLEX-S10-Haverford76-barabasi_albert,20,395.41388,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,30,,81.56017,1.96913,20,160.0,0,0,1446,1535,1177,0.10588,0.52795,0.00086,0.04197,0.13364
BOWDOIN-COMPLEX-S10-Haverford76-barabasi_albert,20,395.41388,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,30,,81.56017,1.96913,19,404.0,0,0,1446,1574,1168,0.05744,0.51278,0.00051,0.02057,0.09932
BOWDOIN-COMPLEX-S10-Haverford76-barabasi_albert,20,395.41388,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,30,,81.56017,1.96913,18,104.0,0,0,1446,1517,1159,0.13495,0.53618,0.00328,0.05358,0.13286
BOWDOIN-COMPLEX-S10-Haverford76-barabasi_albert,20,395.41388,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,30,,81.56017,1.96913,17,1166.0,0,0,1446,1478,1132,0.03253,0.49385,0.00012,0.01223,0.12951
BOWDOIN-COMPLEX-S10-Haverford76-barabasi_albert,20,395.41388,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,30,,81.56017,1.96913,16,559.0,0,0,1446,1522,1150,0.06574,0.5135,0.00087,0.0199,0.07391
