simulation_name;num_simulations;elapsed_time;netowrk_model;number_of_nodes;number_of_edges;density;diameter;radius;gamma;beta;tmax;R0;average_degree;average_shortest_path;iteration_number;node;S;I;R;max_infection_time;max_infection_len;degree_centrality;closeness_centrality;betweenness_centrality;eigenvector_centrality;clustering_coefficient
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;30;630;0;0;2252;2481;1822;0,03332;0,48924;0,00039;0,02099;0,03135
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;29;1855;0;0;2252;2527;1824;0,03287;0,48988;0,00032;0,02041;0,03702
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;28;1867;2251;0;1;0;1;0,03065;0,48534;0,00051;0,01977;0,03282
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;27;453;0;0;2252;2416;1855;0,03243;0,48786;0,00071;0,0205;0,03082
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;26;1919;0;0;2252;2439;1842;0,03376;0,48839;0,00069;0,02153;0,03544
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;25;1531;0;0;2252;2460;1821;0,03021;0,48461;0,00047;0,01916;0,03029
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;24;2044;0;0;2252;2387;1824;0,02888;0,48222;0,00031;0,01828;0,03125
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;23;1763;0;0;2252;2467;1804;0,03287;0,48871;0,00049;0,0208;0,03999
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;22;1896;0;0;2252;2451;1834;0,03909;0,49867;0,00055;0,02393;0,03161
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;21;1787;0;0;2252;2440;1847;0,0311;0,48492;0,00013;0,01952;0,03271
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;20;383;0;0;2252;2421;1862;0,03687;0,49407;0,00061;0,02308;0,0335
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;19;1885;0;0;2252;2383;1836;0,02665;0,4762;0,00017;0,0165;0,03051
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;18;937;0;0;2252;2443;1870;0,0271;0,47509;0,00033;0,01706;0,03333
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;17;810;0;0;2252;2339;1840;0,02888;0,48346;0,00025;0,01862;0,03365
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;16;1894;0;0;2252;2426;1843;0,03421;0,49073;0,00047;0,02111;0,0311
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;15;412;0;0;2252;2527;1846;0,03865;0,49735;0,00089;0,02426;0,03047
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;14;1673;0;0;2252;2477;1834;0,03598;0,49364;0,00056;0,02268;0,03148
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;13;122;0;0;2252;2407;1860;0,03332;0,49052;0,00048;0,02119;0,03279
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;12;312;0;0;2252;2448;1865;0,03465;0,49073;0,00056;0,02195;0,0343
BOWDOIN-SIMPLES-k0010-Bowdoin47-erdos_renyi;30;109.504.656;erdos_renyi_gnp;2252;84129;0,03319;3;3;1;0,3;30;;7.471.492;204.781;11;582;0;0;2252;2488;1841;0,03199;0,48534;0,00039;0,01984;0,03365
