simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,30,522,0,0,2252,2476,1835,0.03332,0.48807,0.00084,0.02058,0.02991
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,29,327,0,0,2252,2455,1882,0.02888,0.48377,0.00053,0.01853,0.03317
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,28,1130,0,0,2252,2434,1885,0.0351,0.49288,0.00096,0.0225,0.03862
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,27,973,0,0,2252,2423,1888,0.03332,0.48839,0.00061,0.021,0.03712
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,26,815,0,0,2252,2449,1854,0.02754,0.47812,0.00023,0.01753,0.03913
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,25,1078,0,0,2252,2433,1878,0.03376,0.49127,0.00041,0.0214,0.03123
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,24,1873,0,0,2252,2444,1827,0.03598,0.49031,0.00072,0.02241,0.03333
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,23,1623,0,0,2252,2380,1855,0.03376,0.48882,0.00044,0.02119,0.03333
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,22,37,2251,0,1,0,1,0.03465,0.49278,0.00045,0.02228,0.03263
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,21,216,0,0,2252,2500,1879,0.03065,0.48377,0.00063,0.01883,0.02302
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,20,952,0,0,2252,2480,1845,0.03376,0.49009,0.0006,0.02145,0.03053
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,19,1884,0,0,2252,2484,1859,0.03465,0.48924,0.00065,0.02177,0.0323
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,18,2226,0,0,2252,2443,1876,0.03865,0.49658,0.00051,0.0247,0.03609
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,17,1252,0,0,2252,2445,1864,0.03332,0.48945,0.00056,0.02092,0.02955
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,16,2189,0,0,2252,2455,1854,0.03065,0.48398,0.00049,0.01937,0.03282
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,15,1784,0,0,2252,2416,1871,0.02843,0.48006,0.00033,0.0179,0.02927
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,14,1194,0,0,2252,2435,1878,0.03465,0.49159,0.0005,0.02218,0.03796
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,13,2230,0,0,2252,2393,1824,0.03376,0.49127,0.00052,0.02174,0.03439
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,12,440,0,0,2252,2437,1876,0.0311,0.48346,0.00024,0.0195,0.0294
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,11,507,0,0,2252,2452,1871,0.03776,0.49669,0.00027,0.02484,0.03165
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,10,2047,0,0,2252,2372,1845,0.04043,0.4968,0.00072,0.02575,0.03468
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,9,1308,0,0,2252,2436,1851,0.03598,0.49364,0.00061,0.02272,0.02593
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,8,739,0,0,2252,2433,1890,0.0351,0.49234,0.00035,0.02175,0.03376
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,7,893,0,0,2252,2405,1880,0.03865,0.49713,0.0012,0.02508,0.03742
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,6,68,0,0,2252,2431,1876,0.03065,0.48357,0.00036,0.01954,0.03325
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,5,672,0,0,2252,2459,1862,0.02843,0.48047,0.00045,0.01808,0.0372
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,4,261,0,0,2252,2413,1854,0.03554,0.49267,0.00054,0.02271,0.02595
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,3,17,0,0,2252,2442,1885,0.03376,0.48786,0.00058,0.02145,0.03789
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,2,1761,0,0,2252,2379,1858,0.03243,0.48977,0.00043,0.0208,0.03463
BOWDOIN-SIMPLES-k009-Bowdoin47-erdos_renyi,30,1085.56286,erdos_renyi_gnp,2252,83783,0.03306,3,3,0.9,0.3,30,,74.40764,2.04954,1,936,0,0,2252,2413,1852,0.03998,0.49967,0.00062,0.02536,0.03046
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,30,1772,0,0,2252,2341,1806,0.01777,0.46585,0.0001,0.00964,0.0859
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,29,433,0,0,2252,2403,1792,0.04576,0.50448,0.00023,0.02054,0.06358
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,28,546,0,0,2252,2474,1843,0.03287,0.49159,0.00048,0.01498,0.06812
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,27,1701,0,0,2252,2389,1816,0.0191,0.46994,7e-05,0.01058,0.11406
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,26,1153,0,0,2252,2437,1768,0.02532,0.4729,0.00019,0.01034,0.05514
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,25,2086,0,0,2252,2437,1814,0.01688,0.45029,9e-05,0.00766,0.05263
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,24,2136,0,0,2252,2394,1787,0.01733,0.45799,0.00014,0.00859,0.08097
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,23,922,0,0,2252,2433,1796,0.02532,0.48723,0.00013,0.01363,0.09336
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,22,874,0,0,2252,2358,1781,0.02443,0.47701,0.00019,0.01172,0.07407
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,21,834,0,0,2252,2393,1844,0.02355,0.47751,0.00029,0.01203,0.08563
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,20,752,0,0,2252,2432,1781,0.02665,0.48263,0.00014,0.01294,0.0678
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,19,456,0,0,2252,2480,1801,0.03421,0.49451,0.00028,0.01708,0.07826
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,18,2146,0,0,2252,2323,1804,0.01688,0.45429,5e-05,0.00819,0.06117
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,17,1209,0,0,2252,2409,1810,0.02177,0.4817,7e-05,0.01307,0.1199
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,16,912,2251,0,1,0,1,0.02665,0.4764,0.00018,0.01175,0.06102
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,15,446,0,0,2252,2417,1812,0.02932,0.49191,0.00026,0.01606,0.09324
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,14,536,0,0,2252,2487,1840,0.04043,0.49735,0.0005,0.0178,0.06252
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,13,1915,0,0,2252,2333,1770,0.01866,0.4736,6e-05,0.01115,0.11382
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,12,1246,0,0,2252,2435,1790,0.02221,0.48639,3e-05,0.01382,0.12816
BOWDOIN-SIMPLES-k009-Bowdoin47-barabasi_albert,30,1093.19601,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,30,,72.78419,2.0784,11,1175,0,0,2252,2357,1782,0.02266,0.47924,0.00016,0.01258,0.09961
