simulation_name;num_simulations;elapsed_time;netowrk_model;number_of_nodes;number_of_edges;density;diameter;radius;gamma;beta;tmax;R0;average_degree;average_shortest_path;iteration_number;node;S;I;R;max_infection_time;max_infection_len;degree_centrality;closeness_centrality;betweenness_centrality;eigenvector_centrality;clustering_coefficient
BOWDOIN-simples-f06-Bowdoin47-erdos_renyi;10;44.433.627;erdos_renyi_gnp;2252;83657;0,03301;3;3;0,6;0,3;10;;7.429.574;205.006;10;2137;0;9;2243;2428;1983;0,03465;0,49031;0,00047;0,02197;0,0313
BOWDOIN-simples-f06-Bowdoin47-erdos_renyi;10;44.433.627;erdos_renyi_gnp;2252;83657;0,03301;3;3;0,6;0,3;10;;7.429.574;205.006;9;448;0;4;2248;2382;1967;0,03865;0,49735;0,00071;0,02447;0,0401
BOWDOIN-simples-f06-Bowdoin47-erdos_renyi;10;44.433.627;erdos_renyi_gnp;2252;83657;0,03301;3;3;0,6;0,3;10;;7.429.574;205.006;8;849;0;5;2247;2398;1967;0,0351;0,49073;0,0006;0,0221;0,03246
BOWDOIN-simples-f06-Bowdoin47-erdos_renyi;10;44.433.627;erdos_renyi_gnp;2252;83657;0,03301;3;3;0,6;0,3;10;;7.429.574;205.006;7;60;0;11;2241;2403;2000;0,03687;0,49213;0,00086;0,02284;0,03644
BOWDOIN-simples-f06-Bowdoin47-erdos_renyi;10;44.433.627;erdos_renyi_gnp;2252;83657;0,03301;3;3;0,6;0,3;10;;7.429.574;205.006;6;424;0;6;2246;2362;1981;0,03287;0,48733;0,00041;0,02075;0,03517
BOWDOIN-simples-f06-Bowdoin47-erdos_renyi;10;44.433.627;erdos_renyi_gnp;2252;83657;0,03301;3;3;0,6;0,3;10;;7.429.574;205.006;5;741;0;9;2243;2360;1963;0,03376;0,49202;0,00031;0,0217;0,03193
BOWDOIN-simples-f06-Bowdoin47-erdos_renyi;10;44.433.627;erdos_renyi_gnp;2252;83657;0,03301;3;3;0,6;0,3;10;;7.429.574;205.006;4;895;0;9;2243;2350;1987;0,03643;0,49321;0,00044;0,02293;0,03433
BOWDOIN-simples-f06-Bowdoin47-erdos_renyi;10;44.433.627;erdos_renyi_gnp;2252;83657;0,03301;3;3;0,6;0,3;10;;7.429.574;205.006;3;1347;0;6;2246;2383;1994;0,03154;0,48882;0,00037;0,02025;0,03702
BOWDOIN-simples-f06-Bowdoin47-erdos_renyi;10;44.433.627;erdos_renyi_gnp;2252;83657;0,03301;3;3;0,6;0,3;10;;7.429.574;205.006;2;2107;0;9;2243;2418;1963;0,03687;0,49407;0,00089;0,02339;0,03203
BOWDOIN-simples-f06-Bowdoin47-erdos_renyi;10;44.433.627;erdos_renyi_gnp;2252;83657;0,03301;3;3;0,6;0,3;10;;7.429.574;205.006;1;670;0;7;2245;2405;1974;0,03376;0,48829;0,0006;0,0215;0,03825
BOWDOIN-simples-f06-Bowdoin47-barabasi_albert;10;44.475.136;barabasi_albert;2252;81955;0,03233;3;2;0,6;0,3;10;;7.278.419;20.804;10;1144;0;5;2247;2421;1918;0,02355;0,47691;6,00E-05;0,01213;0,0791
BOWDOIN-simples-f06-Bowdoin47-barabasi_albert;10;44.475.136;barabasi_albert;2252;81955;0,03233;3;2;0,6;0,3;10;;7.278.419;20.804;9;801;0;3;2249;2335;1912;0,02932;0,49159;0,00022;0,01609;0,09464
BOWDOIN-simples-f06-Bowdoin47-barabasi_albert;10;44.475.136;barabasi_albert;2252;81955;0,03233;3;2;0,6;0,3;10;;7.278.419;20.804;8;1696;0;6;2246;2399;1886;0,0191;0,45986;0,00013;0,00915;0,07641
BOWDOIN-simples-f06-Bowdoin47-barabasi_albert;10;44.475.136;barabasi_albert;2252;81955;0,03233;3;2;0,6;0,3;10;;7.278.419;20.804;7;1714;0;5;2247;2387;1906;0,0191;0,45374;0,00016;0,00765;0,04097
BOWDOIN-simples-f06-Bowdoin47-barabasi_albert;10;44.475.136;barabasi_albert;2252;81955;0,03233;3;2;0,6;0,3;10;;7.278.419;20.804;6;1944;0;11;2241;2421;1958;0,01644;0,46174;6,00E-05;0,00918;0,0976
BOWDOIN-simples-f06-Bowdoin47-barabasi_albert;10;44.475.136;barabasi_albert;2252;81955;0,03233;3;2;0,6;0,3;10;;7.278.419;20.804;5;1396;0;6;2246;2375;1904;0,01821;0,47191;9,00E-05;0,01077;0,11098
BOWDOIN-simples-f06-Bowdoin47-barabasi_albert;10;44.475.136;barabasi_albert;2252;81955;0,03233;3;2;0,6;0,3;10;;7.278.419;20.804;4;1264;0;7;2245;2382;1889;0,01999;0,47499;5,00E-05;0,01106;0,09091
BOWDOIN-simples-f06-Bowdoin47-barabasi_albert;10;44.475.136;barabasi_albert;2252;81955;0,03233;3;2;0,6;0,3;10;;7.278.419;20.804;3;1142;0;5;2247;2440;1907;0,02443;0,47161;0,00028;0,01102;0,06128
BOWDOIN-simples-f06-Bowdoin47-barabasi_albert;10;44.475.136;barabasi_albert;2252;81955;0,03233;3;2;0,6;0,3;10;;7.278.419;20.804;2;748;0;9;2243;2378;1883;0,0311;0,49473;0,00031;0,01648;0,08075
BOWDOIN-simples-f06-Bowdoin47-barabasi_albert;10;44.475.136;barabasi_albert;2252;81955;0,03233;3;2;0,6;0,3;10;;7.278.419;20.804;1;1436;0;5;2247;2400;1933;0,02132;0,47161;8,00E-05;0,01141;0,08422
