simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
BOWDOIN-simples-f09-Bowdoin47-erdos_renyi,10,445.15939,erdos_renyi_gnp,2252,83484,0.03294,3,3,0.9,0.3,10,,74.1421,2.05095,10,485,0,0,2252,2543,1860,0.03776,0.49614,0.00081,0.02437,0.03221
BOWDOIN-simples-f09-Bowdoin47-erdos_renyi,10,445.15939,erdos_renyi_gnp,2252,83484,0.03294,3,3,0.9,0.3,10,,74.1421,2.05095,9,1858,0,0,2252,2403,1848,0.03687,0.49234,0.00052,0.02318,0.03497
BOWDOIN-simples-f09-Bowdoin47-erdos_renyi,10,445.15939,erdos_renyi_gnp,2252,83484,0.03294,3,3,0.9,0.3,10,,74.1421,2.05095,8,261,0,1,2251,2397,1884,0.03287,0.48956,0.00041,0.02089,0.03332
BOWDOIN-simples-f09-Bowdoin47-erdos_renyi,10,445.15939,erdos_renyi_gnp,2252,83484,0.03294,3,3,0.9,0.3,10,,74.1421,2.05095,7,472,0,0,2252,2520,1851,0.03199,0.48786,0.00043,0.02036,0.03482
BOWDOIN-simples-f09-Bowdoin47-erdos_renyi,10,445.15939,erdos_renyi_gnp,2252,83484,0.03294,3,3,0.9,0.3,10,,74.1421,2.05095,6,1985,0,0,2252,2445,1876,0.03021,0.48639,0.00044,0.0193,0.0338
BOWDOIN-simples-f09-Bowdoin47-erdos_renyi,10,445.15939,erdos_renyi_gnp,2252,83484,0.03294,3,3,0.9,0.3,10,,74.1421,2.05095,5,938,0,0,2252,2473,1858,0.02932,0.47975,0.00042,0.01838,0.04242
BOWDOIN-simples-f09-Bowdoin47-erdos_renyi,10,445.15939,erdos_renyi_gnp,2252,83484,0.03294,3,3,0.9,0.3,10,,74.1421,2.05095,4,415,0,0,2252,2424,1891,0.03021,0.48243,0.0004,0.01931,0.03248
BOWDOIN-simples-f09-Bowdoin47-erdos_renyi,10,445.15939,erdos_renyi_gnp,2252,83484,0.03294,3,3,0.9,0.3,10,,74.1421,2.05095,3,1272,0,0,2252,2512,1883,0.0311,0.48639,0.00015,0.01985,0.03851
BOWDOIN-simples-f09-Bowdoin47-erdos_renyi,10,445.15939,erdos_renyi_gnp,2252,83484,0.03294,3,3,0.9,0.3,10,,74.1421,2.05095,2,2004,0,0,2252,2494,1863,0.03065,0.48471,0.0003,0.0192,0.0324
BOWDOIN-simples-f09-Bowdoin47-erdos_renyi,10,445.15939,erdos_renyi_gnp,2252,83484,0.03294,3,3,0.9,0.3,10,,74.1421,2.05095,1,729,0,0,2252,2442,1879,0.03243,0.48818,0.0007,0.02067,0.03349
BOWDOIN-simples-f09-Bowdoin47-barabasi_albert,10,443.74127,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,10,,72.78419,2.08002,10,587,0,1,2251,2385,1802,0.03243,0.49779,0.00053,0.01769,0.09589
BOWDOIN-simples-f09-Bowdoin47-barabasi_albert,10,443.74127,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,10,,72.78419,2.08002,9,1687,0,0,2252,2393,1824,0.0191,0.46174,0.00016,0.00933,0.0753
BOWDOIN-simples-f09-Bowdoin47-barabasi_albert,10,443.74127,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,10,,72.78419,2.08002,8,758,0,1,2251,2430,1783,0.03154,0.49009,0.00018,0.01512,0.07203
BOWDOIN-simples-f09-Bowdoin47-barabasi_albert,10,443.74127,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,10,,72.78419,2.08002,7,1058,0,0,2252,2352,1829,0.02577,0.48712,0.00023,0.01385,0.08469
BOWDOIN-simples-f09-Bowdoin47-barabasi_albert,10,443.74127,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,10,,72.78419,2.08002,6,1669,0,1,2251,2429,1810,0.02088,0.46964,0.00014,0.01038,0.07031
BOWDOIN-simples-f09-Bowdoin47-barabasi_albert,10,443.74127,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,10,,72.78419,2.08002,5,1204,0,0,2252,2362,1815,0.0231,0.47751,0.00017,0.01172,0.07994
BOWDOIN-simples-f09-Bowdoin47-barabasi_albert,10,443.74127,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,10,,72.78419,2.08002,4,1115,0,0,2252,2375,1748,0.02044,0.47802,7e-05,0.01213,0.10435
BOWDOIN-simples-f09-Bowdoin47-barabasi_albert,10,443.74127,barabasi_albert,2252,81955,0.03233,3,2,0.9,0.3,10,,72.78419,2.08002,3,1968,0,0,2252,2336,1809,0.01821,0.44689,0.00012,0.007,0.05244
