simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
Bowdoin47-01-Haverford76-erdos_renyi,50,1239.86885,erdos_renyi_gnp,1446,59462,0.05692,3,2,0.3,0.3,10,,82.24343,1.95175,50,739,0,82,1364,1489,1364,0.04775,0.50631,0.0004,0.02216,0.06053
Bowdoin47-01-Haverford76-erdos_renyi,50,1239.86885,erdos_renyi_gnp,1446,59462,0.05692,3,2,0.3,0.3,10,,82.24343,1.95175,49,914,0,68,1378,1485,1360,0.05536,0.51223,0.0005,0.02539,0.05316
Bowdoin47-01-Haverford76-erdos_renyi,50,1239.86885,erdos_renyi_gnp,1446,59462,0.05692,3,2,0.3,0.3,10,,82.24343,1.95175,48,985,0,66,1380,1507,1342,0.05813,0.51205,0.00062,0.02697,0.06368
Bowdoin47-01-Haverford76-erdos_renyi,50,1239.86885,erdos_renyi_gnp,1446,59462,0.05692,3,2,0.3,0.3,10,,82.24343,1.95175,47,530,0,75,1371,1482,1347,0.04637,0.5072,0.00037,0.021,0.05789
Bowdoin47-01-Haverford76-erdos_renyi,50,1239.86885,erdos_renyi_gnp,1446,59462,0.05692,3,2,0.3,0.3,10,,82.24343,1.95175,46,928,0,78,1368,1501,1362,0.0692,0.51718,0.00084,0.03161,0.05758
Bowdoin47-01-Haverford76-erdos_renyi,50,1239.86885,erdos_renyi_gnp,1446,59462,0.05692,3,2,0.3,0.3,10,,82.24343,1.95175,45,3,0,77,1369,1518,1337,0.05329,0.5097,0.00064,0.02452,0.05571
Bowdoin47-01-Haverford76-erdos_renyi,50,1239.86885,erdos_renyi_gnp,1446,59462,0.05692,3,2,0.3,0.3,10,,82.24343,1.95175,44,10,0,81,1365,1508,1337,0.06228,0.51515,0.00096,0.02873,0.05643
Bowdoin47-01-Haverford76-erdos_renyi,50,1239.86885,erdos_renyi_gnp,1446,59462,0.05692,3,2,0.3,0.3,10,,82.24343,1.95175,43,710,0,84,1362,1508,1357,0.05744,0.51205,0.00058,0.02649,0.05319
Bowdoin47-01-Haverford76-erdos_renyi,50,1239.86885,erdos_renyi_gnp,1446,59462,0.05692,3,2,0.3,0.3,10,,82.24343,1.95175,42,327,0,79,1367,1503,1356,0.05536,0.51259,0.00043,0.02554,0.05981
Bowdoin47-01-Haverford76-erdos_renyi,50,1239.86885,erdos_renyi_gnp,1446,59462,0.05692,3,2,0.3,0.3,10,,82.24343,1.95175,41,693,0,70,1376,1501,1368,0.04775,0.50737,0.00031,0.02226,0.06053
