simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,50,44,0,79,1367,1493,1350,0.05813,0.51314,0.00085,0.02701,0.05651
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,49,73,0,70,1376,1517,1350,0.06021,0.51405,0.00055,0.02769,0.05426
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,48,588,0,78,1368,1454,1359,0.05813,0.51259,0.00077,0.02665,0.05967
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,47,694,0,78,1368,1510,1363,0.07197,0.51774,0.00076,0.0333,0.06068
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,46,190,0,77,1369,1511,1342,0.05606,0.51259,0.0009,0.02558,0.05556
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,45,1096,0,81,1365,1517,1328,0.05536,0.51332,0.00047,0.02552,0.04842
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,44,648,0,81,1365,1512,1347,0.06574,0.51589,0.00097,0.0307,0.05241
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,43,797,0,78,1368,1532,1349,0.05467,0.51096,0.0008,0.02498,0.05615
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,42,1272,0,83,1363,1510,1349,0.05606,0.51296,0.00057,0.02597,0.05679
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,41,1039,0,81,1365,1485,1350,0.05329,0.51132,0.00042,0.02414,0.06049
Ego-01-Haverford76-erdos_renyi,50,1241.17573,erdos_renyi_gnp,1446,59505,0.05696,3,2,0.3,0.3,10,,82.3029,1.95181,40,275,0,63,1383,1502,1347,0.06505,0.51607,0.00073,0.03013,0.0572
