simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,30,2484,384,0,3655,3224,1675,0.0312,0.2619,0.0,0.05545,0.8419
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,29,1138,4037,0,2,1,2,0.00347,0.31527,0.0,0.0,0.52747
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,28,3288,622,0,3417,2881,1486,0.01189,0.28339,1e-05,0.0,0.42819
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,27,2762,556,0,3483,3547,1792,0.0052,0.28285,0.0,0.0,0.31905
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,26,2501,294,0,3745,3878,1635,0.01882,0.27864,0.00021,0.00722,0.4793
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,25,75,443,0,3596,2926,1663,0.00347,0.26133,0.0,0.0,0.75824
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,24,2753,376,0,3663,3355,1644,0.01288,0.28347,1e-05,0.0,0.55505
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,23,1826,321,0,3718,3762,1613,0.02526,0.31745,1e-05,5e-05,0.60202
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,22,3058,467,0,3572,2810,1549,0.00371,0.28273,0.0,0.0,0.93333
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,21,243,643,0,3396,3648,1537,0.00198,0.26122,0.0,0.0,0.64286
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,20,1196,289,0,3750,3764,1775,0.00644,0.33333,9e-05,4e-05,0.60615
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,19,2909,309,0,3730,3117,1808,0.01907,0.28397,1e-05,0.0,0.5188
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,18,3508,4038,0,1,0,1,0.00594,0.23954,0.0,0.0,0.43478
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,17,2312,646,0,3393,3009,1590,0.00396,0.26005,0.0,0.00086,0.85
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,16,1213,461,0,3578,3809,1576,0.00495,0.31542,0.0,0.0,0.6
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,15,397,476,0,3563,3002,1483,0.01164,0.29113,0.00014,1e-05,0.31915
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,14,170,358,0,3681,3397,1546,0.01139,0.26187,1e-05,0.0,0.4715
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,13,2086,631,0,3408,3887,1516,0.03368,0.26207,0.0,0.06018,0.84717
Ego-SIMPLES-S02-Ego-facebook,30,2581.49832,snap-Ego,4039,88234,0.01082,8,4,0.9,0.3,30,,43.69101,3.69251,12,2705,575,0,3464,3089,1574,0.00669,0.28297,0.0,0.0,0.68376
