simulation_name;num_simulations;elapsed_time;netowrk_model;number_of_nodes;number_of_edges;density;diameter;radius;gamma;beta;tmax;R0;average_degree;average_shortest_path;iteration_number;node;S;I;R;max_infection_time;max_infection_len;degree_centrality;closeness_centrality;betweenness_centrality;eigenvector_centrality;clustering_coefficient
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;30;3670;142;0;3897;3801;2612;0.00545;0.23952;0.0;0.0;0.69264
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;29;1773;204;0;3835;4023;2392;0.0057;0.3172;0.0;0.0;0.75494
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;28;877;4038;0;1;0;1;0.00099;0.21338;0.0;0.0;1.0
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;27;2645;114;0;3925;4030;2347;0.01337;0.26068;0.0;0.0009;0.6464
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;26;1863;105;0;3934;3976;2471;0.01213;0.33397;0.00013;5,00E-05;0.37585
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;25;1100;136;1;3902;4422;2561;0.01585;0.31651;0.0;0.0;0.63492
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;24;1048;94;0;3945;3971;2368;0.02625;0.31775;2,00E-05;5,00E-05;0.50925
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;23;426;65;1;3973;4166;2671;0.00446;0.28677;0.0;0.0;0.55556
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;22;1910;137;0;3902;4311;2526;0.00768;0.31569;1,00E-05;0.0;0.36774
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;21;85;141;2;3896;4114;2435;0.00347;0.26133;0.0;0.0;0.64835
Ego-SIMPLES-S08-Ego-facebook;30;259.660.474;snap-Ego;4039;88234;0.01082;8;4;0.3;0.3;30;;4.369.101;369.251;20;2456;4038;0;1;0;1;0.00198;0.25991;0.0;0.00063;0.42857
