simulation_name;num_simulations;elapsed_time;netowrk_model;number_of_nodes;number_of_edges;density;diameter;radius;gamma;beta;tmax;R0;average_degree;average_shortest_path;iteration_number;node;S;I;R;max_infection_time;max_infection_len;degree_centrality;closeness_centrality;betweenness_centrality;eigenvector_centrality;clustering_coefficient
Ego-simples-f01-Ego-facebook;10;10.650.392;snap-Ego;4039;88234;0.01082;8;4;0.1;0.3;10;;4.369.101;369.251;10;19;68;1735;2236;3938;3075;0,00396;0,26136;1,00E-05;0;0,28333
Ego-simples-f01-Ego-facebook;10;10.650.392;snap-Ego;4039;88234;0.01082;8;4;0.1;0.3;10;;4.369.101;369.251;9;3396;57;1711;2271;4077;3192;0,01882;0,28395;2,00E-05;0;0,42982
Ego-simples-f01-Ego-facebook;10;10.650.392;snap-Ego;4039;88234;0.01082;8;4;0.1;0.3;10;;4.369.101;369.251;8;3786;43;1806;2190;4090;3279;0,0052;0,2395;0;0;0,54762
Ego-simples-f01-Ego-facebook;10;10.650.392;snap-Ego;4039;88234;0.01082;8;4;0.1;0.3;10;;4.369.101;369.251;7;3226;51;1634;2354;4291;3176;0,01956;0,28401;1,00E-05;0;0,60792
Ego-simples-f01-Ego-facebook;10;10.650.392;snap-Ego;4039;88234;0.01082;8;4;0.1;0.3;10;;4.369.101;369.251;6;124;44;1694;2301;4315;3228;0,00099;0,26116;0;0;0,5
Ego-simples-f01-Ego-facebook;10;10.650.392;snap-Ego;4039;88234;0.01082;8;4;0.1;0.3;10;;4.369.101;369.251;5;2975;4038;0;1;0;1;0,00074;0,2825;0;0;0,66667
Ego-simples-f01-Ego-facebook;10;10.650.392;snap-Ego;4039;88234;0.01082;8;4;0.1;0.3;10;;4.369.101;369.251;4;2546;47;1641;2351;3784;3051;0,03566;0,26221;0;0,06213;0,8039
Ego-simples-f01-Ego-facebook;10;10.650.392;snap-Ego;4039;88234;0.01082;8;4;0.1;0.3;10;;4.369.101;369.251;3;1811;24;1715;2300;4092;3099;0,0156;0,31648;0;3,00E-05;0,65233
Ego-simples-f01-Ego-facebook;10;10.650.392;snap-Ego;4039;88234;0.01082;8;4;0.1;0.3;10;;4.369.101;369.251;2;3955;41;1700;2298;4251;3150;0,00074;0,23925;0;0;1
Ego-simples-f01-Ego-facebook;10;10.650.392;snap-Ego;4039;88234;0.01082;8;4;0.1;0.3;10;;4.369.101;369.251;1;2866;23;1642;2374;4457;3092;0,01932;0,28399;1,00E-05;0;0,58708
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;3729,5;2834,3;0,012059;0,271441;0,000005;0,006216;0,607867
