simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
Ego-simples-f10-Ego-erdos_renyi,10,1136.30781,erdos_renyi_gnp,4039,88260,0.01082,4,3,1,0.3,10,,43.70389,2.60562,10,1543,1,1,4037,4583,2944,0.01065,0.38333,0.00027,0.0154,0.01107
Ego-simples-f10-Ego-erdos_renyi,10,1136.30781,erdos_renyi_gnp,4039,88260,0.01082,4,3,1,0.3,10,,43.70389,2.60562,9,1329,0,1,4038,4558,2931,0.01263,0.39185,0.00044,0.018,0.00706
Ego-simples-f10-Ego-erdos_renyi,10,1136.30781,erdos_renyi_gnp,4039,88260,0.01082,4,3,1,0.3,10,,43.70389,2.60562,8,3099,0,0,4039,4457,2906,0.01139,0.38693,0.00039,0.01655,0.00773
Ego-simples-f10-Ego-erdos_renyi,10,1136.30781,erdos_renyi_gnp,4039,88260,0.01082,4,3,1,0.3,10,,43.70389,2.60562,7,1616,0,0,4039,4522,2927,0.00941,0.37816,0.00027,0.01366,0.01422
Ego-simples-f10-Ego-erdos_renyi,10,1136.30781,erdos_renyi_gnp,4039,88260,0.01082,4,3,1,0.3,10,,43.70389,2.60562,6,933,1,0,4038,4622,2883,0.00867,0.37206,0.00022,0.01188,0.01008
Ego-simples-f10-Ego-erdos_renyi,10,1136.30781,erdos_renyi_gnp,4039,88260,0.01082,4,3,1,0.3,10,,43.70389,2.60562,5,355,0,1,4038,4706,2901,0.01139,0.38549,0.00034,0.01598,0.01159
Ego-simples-f10-Ego-erdos_renyi,10,1136.30781,erdos_renyi_gnp,4039,88260,0.01082,4,3,1,0.3,10,,43.70389,2.60562,4,3990,0,1,4038,4293,2956,0.0104,0.38373,0.00048,0.01551,0.01045
Ego-simples-f10-Ego-erdos_renyi,10,1136.30781,erdos_renyi_gnp,4039,88260,0.01082,4,3,1,0.3,10,,43.70389,2.60562,3,3086,0,0,4039,4559,2852,0.00941,0.37933,0.0003,0.01398,0.01565
Ego-simples-f10-Ego-erdos_renyi,10,1136.30781,erdos_renyi_gnp,4039,88260,0.01082,4,3,1,0.3,10,,43.70389,2.60562,2,2065,0,0,4039,4626,2883,0.00966,0.37837,0.00043,0.01345,0.00945
Ego-simples-f10-Ego-erdos_renyi,10,1136.30781,erdos_renyi_gnp,4039,88260,0.01082,4,3,1,0.3,10,,43.70389,2.60562,1,3653,0,0,4039,4440,2951,0.0109,0.38442,0.00018,0.01556,0.00846
Ego-simples-f10-Ego-barabasi_albert,10,1112.48976,barabasi_albert,4039,88374,0.01084,4,3,1,0.3,10,,43.76034,2.51033,10,2162,3,0,4036,4371,2804,0.00867,0.39211,8e-05,0.0085,0.03025
Ego-simples-f10-Ego-barabasi_albert,10,1112.48976,barabasi_albert,4039,88374,0.01084,4,3,1,0.3,10,,43.76034,2.51033,9,3632,1,0,4038,4445,2790,0.00594,0.38073,6e-05,0.00661,0.04348
Ego-simples-f10-Ego-barabasi_albert,10,1112.48976,barabasi_albert,4039,88374,0.01084,4,3,1,0.3,10,,43.76034,2.51033,8,1663,4038,0,1,0,1,0.00842,0.38864,0.00019,0.00789,0.03209
Ego-simples-f10-Ego-barabasi_albert,10,1112.48976,barabasi_albert,4039,88374,0.01084,4,3,1,0.3,10,,43.76034,2.51033,7,3575,3,0,4036,4236,2823,0.00545,0.38745,3e-05,0.0073,0.05628
Ego-simples-f10-Ego-barabasi_albert,10,1112.48976,barabasi_albert,4039,88374,0.01084,4,3,1,0.3,10,,43.76034,2.51033,6,2985,0,0,4039,4398,2761,0.00718,0.37594,0.00011,0.00564,0.02709
Ego-simples-f10-Ego-barabasi_albert,10,1112.48976,barabasi_albert,4039,88374,0.01084,4,3,1,0.3,10,,43.76034,2.51033,5,2353,4,0,4035,4596,2699,0.00867,0.38564,0.00024,0.00685,0.01345
Ego-simples-f10-Ego-barabasi_albert,10,1112.48976,barabasi_albert,4039,88374,0.01084,4,3,1,0.3,10,,43.76034,2.51033,4,3944,3,0,4036,4390,2737,0.0057,0.37876,3e-05,0.00618,0.02372
Ego-simples-f10-Ego-barabasi_albert,10,1112.48976,barabasi_albert,4039,88374,0.01084,4,3,1,0.3,10,,43.76034,2.51033,3,1252,4038,0,1,0,1,0.00916,0.39976,0.00013,0.00957,0.03153
Ego-simples-f10-Ego-barabasi_albert,10,1112.48976,barabasi_albert,4039,88374,0.01084,4,3,1,0.3,10,,43.76034,2.51033,2,2683,4,1,4034,4299,2868,0.00718,0.37337,0.00012,0.00489,0.01478
Ego-simples-f10-Ego-barabasi_albert,10,1112.48976,barabasi_albert,4039,88374,0.01084,4,3,1,0.3,10,,43.76034,2.51033,1,1159,2,0,4037,4308,2783,0.00867,0.4004,0.00012,0.00987,0.04538
Ego-simples-f10-Ego-watts_strogatz,10,1071.8358,watts_strogatz,4039,88858,0.0109,4,3,1,0.3,10,,44.0,2.7062,10,1536,1,0,4038,4583,2884,0.01213,0.37608,0.00042,0.01745,0.1284
Ego-simples-f10-Ego-watts_strogatz,10,1071.8358,watts_strogatz,4039,88858,0.0109,4,3,1,0.3,10,,44.0,2.7062,9,542,0,1,4038,4635,2948,0.0109,0.37063,0.00033,0.0157,0.13319
