simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,20,146.0,332,0,1,0,1,0.10542,0.52366,0.0051,0.0623,0.0958
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,19,326.0,0,0,333,356,259,0.09036,0.50765,0.00221,0.05377,0.09425
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,18,155.0,0,0,333,361,276,0.09337,0.51156,0.00217,0.05435,0.07957
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,17,330.0,0,0,333,370,261,0.08133,0.50227,0.00156,0.04822,0.09972
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,16,246.0,0,0,333,334,259,0.08735,0.50842,0.00232,0.0511,0.05665
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,15,268.0,0,0,333,361,256,0.0753,0.49552,0.00314,0.04421,0.09667
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,14,280.0,0,0,333,383,262,0.10542,0.51956,0.00602,0.06307,0.10252
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,13,105.0,0,0,333,349,278,0.11145,0.52038,0.00145,0.06379,0.08709
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,12,27.0,0,0,333,368,267,0.07831,0.49405,0.00251,0.04417,0.08
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,11,293.0,0,0,333,375,266,0.08434,0.50227,0.00236,0.05007,0.09788
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,10,145.0,0,0,333,384,265,0.09036,0.51077,0.00426,0.05405,0.09195
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,9,94.0,0,0,333,361,266,0.09337,0.51314,0.002,0.05711,0.08602
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,8,187.0,0,0,333,364,263,0.09337,0.51235,0.00282,0.05607,0.09462
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,7,61.0,0,0,333,361,266,0.06627,0.4868,0.00084,0.04063,0.08658
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,6,264.0,0,0,333,389,256,0.09337,0.51156,0.00199,0.05599,0.09892
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,5,309.0,0,0,333,346,273,0.10843,0.52366,0.00336,0.06342,0.08254
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,4,125.0,0,0,333,345,276,0.08735,0.50765,0.00252,0.05329,0.10591
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,3,257.0,0,0,333,379,258,0.0994,0.52038,0.00727,0.06047,0.08523
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,2,93.0,0,0,333,354,257,0.09337,0.51473,0.0002,0.05475,0.09032
FB02-SIMPLES-s5-Facebook02-erdos_renyi,20,40.01875,erdos_renyi_gnp,333,5037,0.09112,3,3,0.5,0.3,30,,30.25225,1.96413,1,6.0,0,0,333,362,259,0.08133,0.50379,0.00213,0.04966,0.11396
FB02-SIMPLES-s5-Facebook02-barabasi_albert,20,40.09446,barabasi_albert,333,5072,0.09175,3,2,0.5,0.3,30,,30.46246,1.98611,20,184.0,0,0,333,352,249,0.07229,0.48467,0.0022,0.03073,0.15942
FB02-SIMPLES-s5-Facebook02-barabasi_albert,20,40.09446,barabasi_albert,333,5072,0.09175,3,2,0.5,0.3,30,,30.46246,1.98611,19,289.0,0,0,333,351,268,0.06024,0.46434,0.00087,0.02132,0.06842
FB02-SIMPLES-s5-Facebook02-barabasi_albert,20,40.09446,barabasi_albert,333,5072,0.09175,3,2,0.5,0.3,30,,30.46246,1.98611,18,30.0,0,0,333,332,259,0.20181,0.55426,0.00489,0.10862,0.18001
