simulation_name;num_simulations;elapsed_time;netowrk_model;number_of_nodes;number_of_edges;density;diameter;radius;gamma;beta;tmax;R0;average_degree;average_shortest_path;iteration_number;node;S;I;R;max_infection_time;max_infection_len;degree_centrality;closeness_centrality;betweenness_centrality;eigenvector_centrality;clustering_coefficient
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;20;186;332;0;1;0;1;0,11446;0,52532;0,00476;0,06916;0,07824
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;19;17;0;0;333;410;211;0,07229;0,48968;0,00193;0,0454;0,11594
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;18;142;0;0;333;395;202;0,07831;0,4985;0,00195;0,04825;0,09231
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;17;210;0;0;333;354;217;0,12349;0,52782;0,00756;0,07507;0,09146
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;16;148;0;0;333;396;225;0,08133;0,4985;0,00633;0,04798;0,07692
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;15;131;0;0;333;399;208;0,09639;0,51713;0,00543;0,05698;0,08065
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;14;162;0;0;333;389;218;0,08735;0,50687;0,00081;0,05534;0,11084
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;13;190;0;0;333;353;242;0,0994;0,51713;0,00209;0,06001;0,10606
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;12;15;0;0;333;363;216;0,08133;0,49775;0,00098;0,04793;0,07407
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;11;246;2;0;331;343;222;0,09337;0,51235;0,00488;0,05586;0,09892
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;10;326;0;0;333;368;229;0,08434;0,50998;0,0036;0,05476;0,0873
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;9;2;0;0;333;361;236;0,06627;0,48046;0,0001;0,03933;0,08658
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;8;165;0;0;333;385;218;0,08133;0,50227;0,00334;0,0479;0,07692
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;7;11;0;0;333;347;222;0,11145;0,52201;0,00741;0,06534;0,08108
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;6;57;0;0;333;377;222;0,09639;0,51553;0,00279;0,05903;0,10887
FB02-SIMPLES-s9-Facebook02-erdos_renyi;20;4.064.239;erdos_renyi_gnp;333;4985;0,09018;3;3;0,9;0,3;30;;2.993.994;19.704;5;172;0;0;333;397;216;0,0994;0,51956;0,00502;0,06158;0,10227
