simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,20,1188.0,0,0,1446,1554,1222,0.05536,0.51314,0.00072,0.02518,0.05506
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,19,279.0,0,0,1446,1579,1241,0.05121,0.5106,0.00065,0.02307,0.05368
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,18,276.0,0,0,1446,1582,1214,0.05536,0.51132,0.00066,0.02591,0.05601
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,17,619.0,0,0,1446,1537,1197,0.04983,0.50952,0.00015,0.02259,0.05047
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,16,668.0,0,0,1446,1590,1242,0.06436,0.51607,0.00092,0.02932,0.05867
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,15,77.0,0,0,1446,1572,1212,0.05398,0.5115,0.00054,0.02412,0.05961
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,14,38.0,0,0,1446,1554,1226,0.0526,0.51114,0.00063,0.02396,0.06211
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,13,1248.0,0,0,1446,1568,1240,0.05813,0.51278,0.0005,0.02607,0.05536
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,12,491.0,0,0,1446,1615,1215,0.05536,0.51241,0.00051,0.02555,0.05728
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,11,118.0,0,0,1446,1586,1228,0.05467,0.51132,0.00068,0.02484,0.05648
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,10,183.0,0,0,1446,1499,1229,0.0526,0.51078,0.00056,0.02427,0.05474
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,9,280.0,0,0,1446,1581,1231,0.06298,0.51552,0.00085,0.02956,0.05372
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,8,420.0,0,0,1446,1505,1227,0.05744,0.51223,0.00101,0.02637,0.06142
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,7,347.0,0,0,1446,1588,1214,0.05813,0.51369,0.00083,0.02686,0.05938
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,6,125.0,0,0,1446,1516,1222,0.05121,0.50988,0.00061,0.02357,0.05776
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,5,931.0,0,0,1446,1591,1219,0.04844,0.50755,0.00064,0.02197,0.05549
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,4,186.0,0,0,1446,1568,1230,0.06159,0.51478,0.00061,0.0284,0.05924
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,3,356.0,0,0,1446,1595,1213,0.05121,0.50934,0.00045,0.02337,0.05739
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,2,290.0,0,0,1446,1605,1245,0.05536,0.51187,0.00099,0.02506,0.05665
HAVERFORD-COMPLEX-S9-Haverford76-erdos_renyi,20,391.3099,erdos_renyi_gnp,1446,59733,0.05718,3,2,0.9,0.3,30,,82.61826,1.95115,1,155.0,0,0,1446,1538,1240,0.0526,0.51205,0.00033,0.02399,0.05754
HAVERFORD-COMPLEX-S9-Haverford76-barabasi_albert,20,395.36757,barabasi_albert,1446,58968,0.05644,3,2,0.9,0.3,30,,81.56017,1.97003,20,1166.0,0,0,1446,1625,1175,0.03253,0.49385,0.00019,0.01215,0.09898
HAVERFORD-COMPLEX-S9-Haverford76-barabasi_albert,20,395.36757,barabasi_albert,1446,58968,0.05644,3,2,0.9,0.3,30,,81.56017,1.97003,19,15.0,0,0,1446,1558,1168,0.12664,0.5338,0.00148,0.05083,0.12766
HAVERFORD-COMPLEX-S9-Haverford76-barabasi_albert,20,395.36757,barabasi_albert,1446,58968,0.05644,3,2,0.9,0.3,30,,81.56017,1.97003,18,183.0,0,0,1446,1494,1166,0.09135,0.52374,0.00153,0.03532,0.12214
HAVERFORD-COMPLEX-S9-Haverford76-barabasi_albert,20,395.36757,barabasi_albert,1446,58968,0.05644,3,2,0.9,0.3,30,,81.56017,1.97003,17,623.0,0,0,1446,1522,1174,0.04498,0.5088,0.00031,0.01819,0.13654
HAVERFORD-COMPLEX-S9-Haverford76-barabasi_albert,20,395.36757,barabasi_albert,1446,58968,0.05644,3,2,0.9,0.3,30,,81.56017,1.97003,16,195.0,0,0,1446,1509,1199,0.06851,0.51774,0.00061,0.02898,0.1511
HAVERFORD-COMPLEX-S9-Haverford76-barabasi_albert,20,395.36757,barabasi_albert,1446,58968,0.05644,3,2,0.9,0.3,30,,81.56017,1.97003,15,572.0,0,0,1446,1523,1167,0.04775,0.50773,0.00022,0.01866,0.12916
HAVERFORD-COMPLEX-S9-Haverford76-barabasi_albert,20,395.36757,barabasi_albert,1446,58968,0.05644,3,2,0.9,0.3,30,,81.56017,1.97003,14,515.0,0,0,1446,1555,1163,0.05882,0.51223,0.00055,0.01932,0.08768
HAVERFORD-COMPLEX-S9-Haverford76-barabasi_albert,20,395.36757,barabasi_albert,1446,58968,0.05644,3,2,0.9,0.3,30,,81.56017,1.97003,13,1019.0,0,0,1446,1490,1156,0.0346,0.49862,0.00028,0.01201,0.09796
