simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
HAVERFORD-SIMPLES-s8-Haverford76-erdos_renyi,20,376.19558,erdos_renyi_gnp,1446,59234,0.0567,3,2,0.8,0.3,30,,81.92808,1.95221,20,1050,0,0,1446,1525,1256,0.05536,0.51259,0.00061,0.02606,0.05063
HAVERFORD-SIMPLES-s8-Haverford76-erdos_renyi,20,376.19558,erdos_renyi_gnp,1446,59234,0.0567,3,2,0.8,0.3,30,,81.92808,1.95221,19,1197,0,0,1446,1551,1234,0.0519,0.50898,0.00066,0.02407,0.05586
HAVERFORD-SIMPLES-s8-Haverford76-erdos_renyi,20,376.19558,erdos_renyi_gnp,1446,59234,0.0567,3,2,0.8,0.3,30,,81.92808,1.95221,18,976,0,0,1446,1523,1246,0.05882,0.51387,0.00095,0.02674,0.0577
HAVERFORD-SIMPLES-s8-Haverford76-erdos_renyi,20,376.19558,erdos_renyi_gnp,1446,59234,0.0567,3,2,0.8,0.3,30,,81.92808,1.95221,17,572,0,0,1446,1580,1223,0.0609,0.51423,0.00061,0.02832,0.05329
HAVERFORD-SIMPLES-s8-Haverford76-erdos_renyi,20,376.19558,erdos_renyi_gnp,1446,59234,0.0567,3,2,0.8,0.3,30,,81.92808,1.95221,16,935,0,0,1446,1568,1205,0.0609,0.5135,0.00065,0.02823,0.06217
HAVERFORD-SIMPLES-s8-Haverford76-erdos_renyi,20,376.19558,erdos_renyi_gnp,1446,59234,0.0567,3,2,0.8,0.3,30,,81.92808,1.95221,15,921,0,0,1446,1578,1219,0.05121,0.50988,0.00088,0.02332,0.06035
HAVERFORD-SIMPLES-s8-Haverford76-erdos_renyi,20,376.19558,erdos_renyi_gnp,1446,59234,0.0567,3,2,0.8,0.3,30,,81.92808,1.95221,14,985,0,0,1446,1539,1244,0.0609,0.5146,0.00072,0.02827,0.05982
HAVERFORD-SIMPLES-s8-Haverford76-erdos_renyi,20,376.19558,erdos_renyi_gnp,1446,59234,0.0567,3,2,0.8,0.3,30,,81.92808,1.95221,13,1265,0,0,1446,1572,1233,0.05467,0.51205,0.0006,0.0257,0.06426
HAVERFORD-SIMPLES-s8-Haverford76-erdos_renyi,20,376.19558,erdos_renyi_gnp,1446,59234,0.0567,3,2,0.8,0.3,30,,81.92808,1.95221,12,444,0,0,1446,1542,1227,0.04706,0.5072,0.00036,0.02118,0.05751
HAVERFORD-SIMPLES-s8-Haverford76-erdos_renyi,20,376.19558,erdos_renyi_gnp,1446,59234,0.0567,3,2,0.8,0.3,30,,81.92808,1.95221,11,896,0,0,1446,1541,1226,0.06228,0.51478,0.00068,0.02924,0.06267
