simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
HAVERFORD-simples-f10-Haverford76-erdos_renyi,10,232.28511,erdos_renyi_gnp,1446,59495,0.05695,3,2,1.0,0.3,10,,82.28907,1.95154,10,145,0,0,1446,1557,1210,0.06505,0.51515,0.00115,0.02969,0.05582
HAVERFORD-simples-f10-Haverford76-erdos_renyi,10,232.28511,erdos_renyi_gnp,1446,59495,0.05695,3,2,1.0,0.3,10,,82.28907,1.95154,9,692,0,0,1446,1552,1203,0.06505,0.51607,0.00026,0.02992,0.06063
HAVERFORD-simples-f10-Haverford76-erdos_renyi,10,232.28511,erdos_renyi_gnp,1446,59495,0.05695,3,2,1.0,0.3,10,,82.28907,1.95154,8,134,1445,0,1,0,1,0.04083,0.50121,0.00041,0.01891,0.05845
HAVERFORD-simples-f10-Haverford76-erdos_renyi,10,232.28511,erdos_renyi_gnp,1446,59495,0.05695,3,2,1.0,0.3,10,,82.28907,1.95154,7,627,0,0,1446,1543,1194,0.05121,0.51132,0.00079,0.02336,0.0522
HAVERFORD-simples-f10-Haverford76-erdos_renyi,10,232.28511,erdos_renyi_gnp,1446,59495,0.05695,3,2,1.0,0.3,10,,82.28907,1.95154,6,936,1445,0,1,0,1,0.06436,0.51534,0.00093,0.02931,0.05937
HAVERFORD-simples-f10-Haverford76-erdos_renyi,10,232.28511,erdos_renyi_gnp,1446,59495,0.05695,3,2,1.0,0.3,10,,82.28907,1.95154,5,412,0,0,1446,1546,1213,0.05882,0.51387,0.00076,0.02701,0.0535
HAVERFORD-simples-f10-Haverford76-erdos_renyi,10,232.28511,erdos_renyi_gnp,1446,59495,0.05695,3,2,1.0,0.3,10,,82.28907,1.95154,4,532,0,0,1446,1546,1183,0.04221,0.50436,0.00014,0.01909,0.0623
HAVERFORD-simples-f10-Haverford76-erdos_renyi,10,232.28511,erdos_renyi_gnp,1446,59495,0.05695,3,2,1.0,0.3,10,,82.28907,1.95154,3,307,0,0,1446,1605,1204,0.04706,0.5088,0.00036,0.02122,0.0597
HAVERFORD-simples-f10-Haverford76-erdos_renyi,10,232.28511,erdos_renyi_gnp,1446,59495,0.05695,3,2,1.0,0.3,10,,82.28907,1.95154,2,995,0,0,1446,1587,1220,0.04498,0.5056,0.0005,0.02049,0.05817
HAVERFORD-simples-f10-Haverford76-erdos_renyi,10,232.28511,erdos_renyi_gnp,1446,59495,0.05695,3,2,1.0,0.3,10,,82.28907,1.95154,1,437,0,1,1445,1627,1190,0.05606,0.51259,0.00066,0.0263,0.06296
HAVERFORD-simples-f10-Haverford76-barabasi_albert,10,233.78281,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,10,,81.56017,1.97036,10,94,0,0,1446,1525,1142,0.15363,0.5416,0.00427,0.05709,0.11108
HAVERFORD-simples-f10-Haverford76-barabasi_albert,10,233.78281,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,10,,81.56017,1.97036,9,1416,1445,0,1,0,1,0.02907,0.4915,0.00016,0.0108,0.11731
HAVERFORD-simples-f10-Haverford76-barabasi_albert,10,233.78281,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,10,,81.56017,1.97036,8,307,0,0,1446,1615,1150,0.05813,0.51405,0.00043,0.02285,0.12966
HAVERFORD-simples-f10-Haverford76-barabasi_albert,10,233.78281,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,10,,81.56017,1.97036,7,802,0,0,1446,1456,1177,0.04152,0.50191,0.00031,0.01347,0.09322
HAVERFORD-simples-f10-Haverford76-barabasi_albert,10,233.78281,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,10,,81.56017,1.97036,6,885,0,0,1446,1621,1156,0.03668,0.50296,0.00013,0.01552,0.13861
HAVERFORD-simples-f10-Haverford76-barabasi_albert,10,233.78281,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,10,,81.56017,1.97036,5,625,0,0,1446,1615,1152,0.05052,0.50934,0.00025,0.01764,0.0997
HAVERFORD-simples-f10-Haverford76-barabasi_albert,10,233.78281,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,10,,81.56017,1.97036,4,570,0,0,1446,1522,1155,0.04983,0.5088,0.00035,0.01759,0.1025
HAVERFORD-simples-f10-Haverford76-barabasi_albert,10,233.78281,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,10,,81.56017,1.97036,3,202,0,0,1446,1534,1161,0.09827,0.52584,0.00226,0.03488,0.09759
HAVERFORD-simples-f10-Haverford76-barabasi_albert,10,233.78281,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,10,,81.56017,1.97036,2,423,0,1,1445,1557,1156,0.05121,0.51006,0.00036,0.01979,0.13143
HAVERFORD-simples-f10-Haverford76-barabasi_albert,10,233.78281,barabasi_albert,1446,58968,0.05644,3,2,1.0,0.3,10,,81.56017,1.97036,1,33,0,0,1446,1544,1157,0.04913,0.51096,0.00012,0.02232,0.1662
HAVERFORD-simples-f10-Haverford76-watts_strogatz,10,233.84536,watts_strogatz,1446,59286,0.05675,3,3,1.0,0.3,10,,82.0,1.98145,10,909,0,0,1446,1599,1166,0.05536,0.50454,0.00088,0.0254,0.19525
HAVERFORD-simples-f10-Haverford76-watts_strogatz,10,233.84536,watts_strogatz,1446,59286,0.05675,3,3,1.0,0.3,10,,82.0,1.98145,9,1334,0,0,1446,1563,1216,0.05536,0.50278,0.00081,0.02547,0.17184
HAVERFORD-simples-f10-Haverford76-watts_strogatz,10,233.84536,watts_strogatz,1446,59286,0.05675,3,3,1.0,0.3,10,,82.0,1.98145,8,451,0,0,1446,1586,1185,0.06228,0.50862,0.00125,0.02876,0.18777
HAVERFORD-simples-f10-Haverford76-watts_strogatz,10,233.84536,watts_strogatz,1446,59286,0.05675,3,3,1.0,0.3,10,,82.0,1.98145,7,811,0,0,1446,1531,1184,0.05882,0.50773,0.00054,0.02685,0.1944
HAVERFORD-simples-f10-Haverford76-watts_strogatz,10,233.84536,watts_strogatz,1446,59286,0.05675,3,3,1.0,0.3,10,,82.0,1.98145,6,1033,0,0,1446,1522,1217,0.06228,0.51042,0.00063,0.02916,0.19576
HAVERFORD-simples-f10-Haverford76-watts_strogatz,10,233.84536,watts_strogatz,1446,59286,0.05675,3,3,1.0,0.3,10,,82.0,1.98145,5,622,0,0,1446,1565,1194,0.05398,0.5,0.00063,0.02448,0.19247
HAVERFORD-simples-f10-Haverford76-watts_strogatz,10,233.84536,watts_strogatz,1446,59286,0.05675,3,3,1.0,0.3,10,,82.0,1.98145,4,831,0,0,1446,1584,1205,0.05744,0.50916,0.00085,0.02676,0.18983
HAVERFORD-simples-f10-Haverford76-watts_strogatz,10,233.84536,watts_strogatz,1446,59286,0.05675,3,3,1.0,0.3,10,,82.0,1.98145,3,791,0,0,1446,1628,1181,0.05744,0.50472,0.00074,0.02656,0.20776
HAVERFORD-simples-f10-Haverford76-watts_strogatz,10,233.84536,watts_strogatz,1446,59286,0.05675,3,3,1.0,0.3,10,,82.0,1.98145,2,918,0,0,1446,1611,1210,0.05606,0.50035,0.00033,0.02574,0.20556
