simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
Haverford76-complex-02-Haverford76-erdos_renyi,100,2433.77179,erdos_renyi_gnp,1446,59708,0.05715,3,2,0.2,0.3,10,,82.58368,1.95134,100,89.0,0,186,1260,1481,1389,0.05744,0.51259,0.00094,0.02619,0.05054
Haverford76-complex-02-Haverford76-erdos_renyi,100,2433.77179,erdos_renyi_gnp,1446,59708,0.05715,3,2,0.2,0.3,10,,82.58368,1.95134,99,613.0,0,219,1227,1499,1373,0.04775,0.50773,0.00059,0.02184,0.0584
Haverford76-complex-02-Haverford76-erdos_renyi,100,2433.77179,erdos_renyi_gnp,1446,59708,0.05715,3,2,0.2,0.3,10,,82.58368,1.95134,98,1253.0,0,211,1235,1475,1383,0.05882,0.51405,0.00073,0.02701,0.04818
Haverford76-complex-02-Haverford76-erdos_renyi,100,2433.77179,erdos_renyi_gnp,1446,59708,0.05715,3,2,0.2,0.3,10,,82.58368,1.95134,97,565.0,0,219,1227,1481,1375,0.04498,0.50472,0.00045,0.02043,0.05288
Haverford76-complex-02-Haverford76-erdos_renyi,100,2433.77179,erdos_renyi_gnp,1446,59708,0.05715,3,2,0.2,0.3,10,,82.58368,1.95134,96,33.0,0,222,1224,1463,1383,0.05536,0.51241,0.0008,0.02493,0.05095
Haverford76-complex-02-Haverford76-erdos_renyi,100,2433.77179,erdos_renyi_gnp,1446,59708,0.05715,3,2,0.2,0.3,10,,82.58368,1.95134,95,232.0,0,216,1230,1487,1371,0.05467,0.5115,0.00057,0.02479,0.06005
Haverford76-complex-02-Haverford76-erdos_renyi,100,2433.77179,erdos_renyi_gnp,1446,59708,0.05715,3,2,0.2,0.3,10,,82.58368,1.95134,94,833.0,0,170,1276,1485,1389,0.06159,0.51442,0.00047,0.02885,0.0595
Haverford76-complex-02-Haverford76-erdos_renyi,100,2433.77179,erdos_renyi_gnp,1446,59708,0.05715,3,2,0.2,0.3,10,,82.58368,1.95134,93,346.0,0,241,1205,1463,1363,0.05744,0.51387,0.00089,0.02621,0.05965
Haverford76-complex-02-Haverford76-erdos_renyi,100,2433.77179,erdos_renyi_gnp,1446,59708,0.05715,3,2,0.2,0.3,10,,82.58368,1.95134,92,35.0,0,217,1229,1485,1387,0.06159,0.51478,0.00056,0.02833,0.05975
Haverford76-complex-02-Haverford76-erdos_renyi,100,2433.77179,erdos_renyi_gnp,1446,59708,0.05715,3,2,0.2,0.3,10,,82.58368,1.95134,91,546.0,0,210,1236,1481,1383,0.05536,0.51278,0.00062,0.0251,0.05696
