simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,20,478.0,0,0,1518,1717,1105,0.03626,0.46363,0.0009,0.03169,0.02626
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,19,696.0,1,0,1517,1640,1114,0.03428,0.45652,0.0008,0.02953,0.02262
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,18,922.0,1515,0,3,1,3,0.02439,0.42962,0.00072,0.0209,0.03303
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,17,500.0,0,0,1518,1703,1073,0.03889,0.47068,0.00266,0.03523,0.02922
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,16,1240.0,1514,0,4,0,2,0.03296,0.45679,0.00129,0.02888,0.02857
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,15,570.0,1516,0,2,0,2,0.02769,0.44435,0.0008,0.02483,0.02555
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,14,115.0,0,0,1518,1678,1091,0.03823,0.46434,0.00184,0.0337,0.02541
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,13,308.0,0,0,1518,1661,1121,0.02505,0.43768,0.00087,0.02282,0.03272
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,12,901.0,1,0,1517,1739,1103,0.03362,0.46053,0.00103,0.03,0.02824
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,11,900.0,0,0,1518,1688,1136,0.03362,0.45886,0.0014,0.02959,0.02667
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,10,304.0,0,0,1518,1733,1071,0.02703,0.4406,0.00093,0.02371,0.03537
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,9,1311.0,0,0,1518,1729,1099,0.02571,0.43869,0.00096,0.02398,0.03509
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,8,151.0,0,0,1518,1676,1118,0.03691,0.46807,0.00161,0.03337,0.03571
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,7,136.0,0,0,1518,1699,1117,0.03032,0.44908,0.00111,0.02676,0.02705
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,6,421.0,0,0,1518,1660,1104,0.02835,0.44697,0.00063,0.02515,0.02436
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,5,442.0,0,0,1518,1779,1091,0.02571,0.43667,0.00046,0.02213,0.02429
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,4,629.0,0,0,1518,1689,1091,0.029,0.44815,0.00135,0.02559,0.02114
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,3,304.0,0,0,1518,1764,1088,0.02703,0.4406,0.00034,0.02371,0.03537
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,2,1418.0,0,0,1518,1714,1080,0.03757,0.46548,0.00186,0.03262,0.03133
SIMMONS-COMPLEX-S10-Simmons81-erdos_renyi,20,362.77361,erdos_renyi_gnp,1518,33133,0.02878,3,3,1.0,0.3,30,,43.65349,2.24746,1,696.0,0,0,1518,1707,1099,0.03428,0.45652,0.00116,0.02953,0.02262
SIMMONS-COMPLEX-S10-Simmons81-barabasi_albert,20,360.29311,barabasi_albert,1518,32912,0.02858,3,2,1.0,0.3,30,,43.36232,2.23404,20,1067.0,2,0,1516,1619,1009,0.01714,0.4348,0.00015,0.01363,0.09231
SIMMONS-COMPLEX-S10-Simmons81-barabasi_albert,20,360.29311,barabasi_albert,1518,32912,0.02858,3,2,1.0,0.3,30,,43.36232,2.23404,19,307.0,2,0,1516,1671,1041,0.0323,0.47466,0.00024,0.02356,0.08929
SIMMONS-COMPLEX-S10-Simmons81-barabasi_albert,20,360.29311,barabasi_albert,1518,32912,0.02858,3,2,1.0,0.3,30,,43.36232,2.23404,18,0.0,1,0,1517,1675,1043,0.08174,0.51881,0.00286,0.06256,0.08786
SIMMONS-COMPLEX-S10-Simmons81-barabasi_albert,20,360.29311,barabasi_albert,1518,32912,0.02858,3,2,1.0,0.3,30,,43.36232,2.23404,17,400.0,0,0,1518,1688,1088,0.02505,0.44948,0.00071,0.01712,0.07255
SIMMONS-COMPLEX-S10-Simmons81-barabasi_albert,20,360.29311,barabasi_albert,1518,32912,0.02858,3,2,1.0,0.3,30,,43.36232,2.23404,16,260.0,3,0,1515,1644,1060,0.03823,0.48128,0.00073,0.02701,0.07985
SIMMONS-COMPLEX-S10-Simmons81-barabasi_albert,20,360.29311,barabasi_albert,1518,32912,0.02858,3,2,1.0,0.3,30,,43.36232,2.23404,15,902.0,2,0,1516,1478,1044,0.01912,0.43158,9e-05,0.01208,0.05419
SIMMONS-COMPLEX-S10-Simmons81-barabasi_albert,20,360.29311,barabasi_albert,1518,32912,0.02858,3,2,1.0,0.3,30,,43.36232,2.23404,14,123.0,2,0,1516,1656,1024,0.04285,0.4951,0.00103,0.03599,0.10385
SIMMONS-COMPLEX-S10-Simmons81-barabasi_albert,20,360.29311,barabasi_albert,1518,32912,0.02858,3,2,1.0,0.3,30,,43.36232,2.23404,13,670.0,0,0,1518,1700,1056,0.02571,0.45055,0.00035,0.0174,0.06478
