simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,30,592,0,0,1518,1657,1250,0.03098,0.45351,0.00082,0.02764,0.03238
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,29,1238,0,0,1518,1650,1227,0.03032,0.44736,0.00073,0.02641,0.02126
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,28,306,0,0,1518,1631,1220,0.02769,0.44697,0.00042,0.02506,0.02787
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,27,1202,0,0,1518,1662,1255,0.029,0.44565,0.00096,0.02542,0.03488
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,26,130,0,0,1518,1717,1216,0.02966,0.44762,0.00125,0.02644,0.03131
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,25,1403,0,0,1518,1615,1242,0.03098,0.45216,0.00099,0.0277,0.0333
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,24,1196,0,0,1518,1677,1242,0.02769,0.44435,0.00047,0.02538,0.03252
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,23,926,0,0,1518,1679,1230,0.03823,0.46792,0.00228,0.03385,0.03025
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,22,1099,0,0,1518,1569,1226,0.02175,0.42541,0.00051,0.01849,0.0303
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,21,384,0,0,1518,1626,1221,0.02373,0.43343,0.0005,0.02116,0.02063
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,20,1376,0,0,1518,1679,1208,0.02307,0.43023,0.00025,0.02024,0.03025
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,19,436,0,0,1518,1692,1213,0.03098,0.44331,0.00106,0.0258,0.02128
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,18,242,0,0,1518,1643,1220,0.03164,0.45149,0.00086,0.02754,0.0266
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,17,621,0,0,1518,1688,1247,0.03032,0.44961,0.00111,0.02615,0.03285
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,16,35,0,0,1518,1662,1255,0.029,0.44683,0.00032,0.02525,0.02326
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,15,860,0,0,1518,1661,1258,0.02769,0.44253,0.00084,0.02514,0.04065
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,14,955,1517,0,1,0,1,0.03362,0.45859,0.00129,0.02985,0.02588
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,13,1382,0,0,1518,1671,1244,0.02307,0.42793,0.00045,0.01943,0.02185
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,12,654,0,0,1518,1625,1212,0.02307,0.43158,0.00054,0.0205,0.03529
SIMMONS-SIMPLES-k006-Simmons81-erdos_renyi,30,522.30118,erdos_renyi_gnp,1518,33114,0.02876,3,3,0.6,0.3,30,,43.62846,2.248,11,1068,0,0,1518,1723,1244,0.02505,0.43844,0.00092,0.02256,0.01849
