simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,30,148,0,0,1518,1623,1112,0.03164,0.45284,0.00151,0.0276,0.03014
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,29,1093,0,0,1518,1685,1122,0.03823,0.46835,0.00174,0.03418,0.03327
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,28,1510,0,0,1518,1701,1090,0.03098,0.44868,0.00093,0.02689,0.03238
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,27,1470,0,0,1518,1736,1103,0.03296,0.45365,0.00055,0.02818,0.02122
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,26,85,0,0,1518,1722,1071,0.03889,0.47083,0.00145,0.03492,0.02688
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,25,400,0,0,1518,1737,1086,0.02703,0.44124,0.00053,0.02421,0.02683
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,24,1452,0,0,1518,1617,1122,0.03889,0.46966,0.00147,0.03455,0.03273
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,23,15,0,0,1518,1670,1115,0.02571,0.43819,0.0009,0.02287,0.02294
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,22,891,0,0,1518,1721,1078,0.02703,0.4424,0.00056,0.02368,0.03902
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,21,501,0,0,1518,1628,1093,0.02373,0.42841,0.00051,0.02014,0.0127
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,20,855,0,0,1518,1687,1112,0.02966,0.44657,0.00097,0.02636,0.0303
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,19,1105,0,0,1518,1676,1083,0.03032,0.45284,0.0014,0.02726,0.02222
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,18,1145,0,0,1518,1734,1101,0.02175,0.42541,0.00028,0.01848,0.0322
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,17,488,0,0,1518,1688,1113,0.0356,0.46434,0.00119,0.03151,0.03774
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,16,647,0,0,1518,1641,1130,0.02505,0.43084,0.00058,0.02165,0.03698
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,15,1279,0,0,1518,1707,1110,0.03164,0.45474,0.00043,0.02839,0.02748
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,14,863,0,0,1518,1677,1104,0.0323,0.45001,0.00118,0.02718,0.03656
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,13,155,0,0,1518,1722,1047,0.02109,0.42517,0.00035,0.01882,0.02419
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,12,1494,0,0,1518,1701,1094,0.03428,0.45998,0.00055,0.03183,0.03469
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,11,1188,0,0,1518,1658,1111,0.029,0.44202,0.00113,0.0246,0.0296
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,10,1278,0,0,1518,1665,1098,0.02703,0.44176,0.00046,0.02414,0.03049
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,9,395,0,0,1518,1705,1108,0.02241,0.42576,0.0003,0.01939,0.02852
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,8,887,1517,0,1,0,1,0.03428,0.45652,0.00057,0.03039,0.02338
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,7,475,0,0,1518,1650,1111,0.02505,0.42829,0.00081,0.02054,0.02845
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,6,400,0,0,1518,1683,1112,0.02703,0.44124,0.00071,0.02421,0.02683
SIMMONS-SIMPLES-r10-Simmons81-erdos_renyi,30,524.57305,erdos_renyi_gnp,1518,33259,0.02889,3,3,1.0,0.3,30,,43.8195,2.24516,5,181,0,0,1518,1719,1100,0.02703,0.43946,0.00099,0.02309,0.02317
