simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
SIMMONS-simples-f05-Simmons81-erdos_renyi,10,212.08055,erdos_renyi_gnp,1518,33148,0.02879,3,3,0.5,0.3,10,,43.67325,2.24788,10,314,0,19,1499,1654,1269,0.02241,0.42696,0.00035,0.01951,0.02496
SIMMONS-simples-f05-Simmons81-erdos_renyi,10,212.08055,erdos_renyi_gnp,1518,33148,0.02879,3,3,0.5,0.3,10,,43.67325,2.24788,9,194,0,16,1502,1575,1248,0.03296,0.4561,0.00074,0.02961,0.02449
SIMMONS-simples-f05-Simmons81-erdos_renyi,10,212.08055,erdos_renyi_gnp,1518,33148,0.02879,3,3,0.5,0.3,10,,43.67325,2.24788,8,579,0,12,1506,1591,1260,0.02373,0.42853,0.00027,0.02042,0.02222
SIMMONS-simples-f05-Simmons81-erdos_renyi,10,212.08055,erdos_renyi_gnp,1518,33148,0.02879,3,3,0.5,0.3,10,,43.67325,2.24788,7,787,0,15,1503,1623,1274,0.02966,0.44935,0.00078,0.02636,0.03737
SIMMONS-simples-f05-Simmons81-erdos_renyi,10,212.08055,erdos_renyi_gnp,1518,33148,0.02879,3,3,0.5,0.3,10,,43.67325,2.24788,6,1160,0,10,1508,1635,1268,0.03032,0.45095,0.00096,0.02719,0.03092
SIMMONS-simples-f05-Simmons81-erdos_renyi,10,212.08055,erdos_renyi_gnp,1518,33148,0.02879,3,3,0.5,0.3,10,,43.67325,2.24788,5,728,0,13,1505,1653,1274,0.03889,0.46292,0.00169,0.03494,0.03507
SIMMONS-simples-f05-Simmons81-erdos_renyi,10,212.08055,erdos_renyi_gnp,1518,33148,0.02879,3,3,0.5,0.3,10,,43.67325,2.24788,4,587,0,11,1507,1597,1248,0.03164,0.45515,0.00092,0.02874,0.02837
SIMMONS-simples-f05-Simmons81-erdos_renyi,10,212.08055,erdos_renyi_gnp,1518,33148,0.02879,3,3,0.5,0.3,10,,43.67325,2.24788,3,9,0,13,1505,1637,1268,0.03494,0.46152,0.00088,0.0315,0.03048
SIMMONS-simples-f05-Simmons81-erdos_renyi,10,212.08055,erdos_renyi_gnp,1518,33148,0.02879,3,3,0.5,0.3,10,,43.67325,2.24788,2,1187,0,20,1498,1638,1293,0.03494,0.46448,0.00168,0.03042,0.02322
SIMMONS-simples-f05-Simmons81-erdos_renyi,10,212.08055,erdos_renyi_gnp,1518,33148,0.02879,3,3,0.5,0.3,10,,43.67325,2.24788,1,1208,0,11,1507,1660,1279,0.02966,0.44789,0.00174,0.02652,0.02424
SIMMONS-simples-f05-Simmons81-barabasi_albert,10,210.63987,barabasi_albert,1518,32912,0.02858,3,2,0.5,0.3,10,,43.36232,2.22942,10,1488,0,11,1507,1631,1232,0.0145,0.43492,0.00019,0.01358,0.12987
SIMMONS-simples-f05-Simmons81-barabasi_albert,10,210.63987,barabasi_albert,1518,32912,0.02858,3,2,0.5,0.3,10,,43.36232,2.22942,9,174,0,15,1503,1714,1205,0.05735,0.49787,0.00191,0.03565,0.05613
SIMMONS-simples-f05-Simmons81-barabasi_albert,10,210.63987,barabasi_albert,1518,32912,0.02858,3,2,0.5,0.3,10,,43.36232,2.22942,8,1354,0,18,1500,1604,1205,0.0145,0.43343,0.00011,0.01294,0.12987
SIMMONS-simples-f05-Simmons81-barabasi_albert,10,210.63987,barabasi_albert,1518,32912,0.02858,3,2,0.5,0.3,10,,43.36232,2.22942,7,53,0,10,1508,1574,1219,0.10349,0.52637,0.00607,0.0751,0.0806
SIMMONS-simples-f05-Simmons81-barabasi_albert,10,210.63987,barabasi_albert,1518,32912,0.02858,3,2,0.5,0.3,10,,43.36232,2.22942,6,608,0,15,1503,1581,1222,0.02307,0.45055,0.00018,0.01663,0.07227
