simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,100,596.0,0,238,1280,1565,1389,0.02439,0.43368,0.00036,0.0212,0.02402
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,99,126.0,0,233,1285,1572,1412,0.02703,0.43971,0.0005,0.02338,0.0378
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,98,336.0,0,229,1289,1582,1416,0.02769,0.44539,0.00066,0.02456,0.03136
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,97,187.0,0,225,1293,1622,1382,0.03691,0.46519,0.0011,0.03258,0.01948
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,96,160.0,0,234,1284,1604,1398,0.02439,0.43084,0.00025,0.02032,0.01952
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,95,926.0,0,224,1294,1569,1379,0.02769,0.44855,0.00074,0.02486,0.03252
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,94,284.0,0,246,1272,1587,1399,0.03098,0.45001,0.00071,0.02642,0.037
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,93,116.0,0,214,1304,1582,1402,0.04483,0.4822,0.00159,0.04015,0.0338
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,92,944.0,0,229,1289,1561,1417,0.029,0.44948,0.00106,0.02577,0.02643
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,91,126.0,0,243,1275,1581,1403,0.02703,0.43971,0.00078,0.02338,0.0378
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,90,772.0,0,226,1292,1580,1398,0.03428,0.46208,0.00094,0.03038,0.02941
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,89,389.0,0,212,1306,1611,1407,0.02439,0.43806,0.00078,0.02161,0.03604
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,88,390.0,0,229,1289,1577,1409,0.02835,0.44215,0.00062,0.02396,0.02547
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,87,388.0,0,214,1304,1570,1410,0.02373,0.4306,0.00046,0.0207,0.04286
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,86,717.0,0,264,1254,1611,1395,0.029,0.44802,0.00096,0.02598,0.02643
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,85,910.0,0,241,1277,1574,1390,0.02966,0.45095,0.00094,0.0265,0.02525
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,84,166.0,0,218,1300,1564,1418,0.02439,0.43844,0.00042,0.02185,0.02553
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,83,5.0,0,253,1265,1620,1404,0.02637,0.44163,0.00079,0.0229,0.02564
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,82,109.0,0,235,1283,1612,1374,0.0323,0.45845,0.00109,0.02875,0.02466
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,81,406.0,0,212,1306,1591,1397,0.03296,0.45624,0.00091,0.02833,0.02857
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,80,818.0,0,248,1270,1589,1391,0.02175,0.42339,0.00055,0.01879,0.0322
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,79,877.0,0,233,1285,1590,1408,0.02966,0.44975,0.00076,0.02671,0.02929
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,78,550.0,0,222,1296,1565,1419,0.03098,0.45162,0.00081,0.02682,0.03145
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,77,803.0,0,244,1274,1631,1383,0.03032,0.45001,0.00119,0.02665,0.02609
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,76,65.0,0,212,1306,1590,1408,0.02637,0.4406,0.00061,0.0234,0.02949
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,75,436.0,0,206,1312,1576,1398,0.02637,0.44163,0.00067,0.02289,0.02564
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,74,545.0,0,198,1320,1620,1382,0.02966,0.45216,0.0007,0.02603,0.02626
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,73,667.0,0,239,1279,1602,1388,0.02241,0.4306,0.00031,0.02002,0.02674
Simmons81-complex-02-Simmons81-erdos_renyi,100,2211.52352,erdos_renyi_gnp,1518,33500,0.02909,3,3,0.2,0.3,10,,44.13702,2.24024,72,156.0,0,226,1292,1580,1392,0.03494,0.46025,0.0021,0.02986,0.03266
