simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,100,1264.0,0,0,4039,4284,3609,0.00941,0.37605,0.00026,0.01288,0.01422
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,99,1638.0,0,0,4039,4300,3549,0.01313,0.39196,0.00067,0.01921,0.01089
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,98,555.0,0,0,4039,4344,3595,0.00892,0.37476,0.00037,0.01229,0.00635
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,97,3528.0,0,0,4039,4305,3614,0.0109,0.38494,0.00041,0.01572,0.01057
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,96,2991.0,0,0,4039,4282,3579,0.01065,0.38105,0.00027,0.0145,0.01107
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,95,1956.0,0,0,4039,4254,3607,0.01015,0.38012,0.00021,0.01448,0.0061
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,94,93.0,0,0,4039,4333,3574,0.01139,0.38615,0.00045,0.01629,0.0087
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,93,602.0,0,0,4039,4233,3588,0.01238,0.39284,0.00051,0.01845,0.01796
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,92,922.0,0,0,4039,4255,3576,0.00991,0.37901,0.00034,0.01391,0.0141
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,91,2128.0,0,0,4039,4318,3601,0.01065,0.38406,0.00033,0.01516,0.00886
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,90,2741.0,0,0,4039,4311,3540,0.01065,0.38413,0.00029,0.01542,0.01661
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,89,1793.0,0,0,4039,4356,3551,0.01065,0.38271,0.00045,0.01503,0.00664
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,88,2825.0,0,0,4039,4304,3599,0.0109,0.38355,0.00031,0.01561,0.0074
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,87,1561.0,0,0,4039,4225,3564,0.01114,0.38311,0.00059,0.01563,0.01414
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,86,2421.0,0,0,4039,4340,3623,0.01164,0.38686,0.0003,0.01686,0.01018
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,85,1300.0,0,0,4039,4274,3579,0.00892,0.37486,0.00028,0.01271,0.01111
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,84,83.0,0,0,4039,4344,3581,0.00991,0.37866,0.00044,0.01339,0.01026
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,83,349.0,0,0,4039,4296,3597,0.01189,0.38808,0.0003,0.01658,0.00887
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,82,2023.0,0,0,4039,4227,3594,0.00966,0.3788,0.00041,0.01394,0.0135
Simul_EGO-Ego-erdos_renyi,100,20357.78358,erdos_renyi_gnp,4039,88119,0.01081,4,3,0.5,0.5,40,,43.63407,2.60667,81,531.0,0,0,4039,4314,3595,0.0109,0.38534,0.00034,0.016,0.00951
