simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,100,41.0,21,0,38,30,17,0.03448,0.31183,0.00253,0.02917,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,99,26.0,58,0,1,0,1,0.05172,0.32768,0.01508,0.0591,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,98,11.0,7,0,52,50,25,0.06897,0.39456,0.01024,0.12875,0.16667
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,97,18.0,11,0,48,44,25,0.05172,0.38411,0.0083,0.10928,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,96,14.0,57,0,2,1,2,0.06897,0.40278,0.15156,0.12787,0.33333
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,95,35.0,58,0,1,0,1,0.03448,0.31351,0.00143,0.03568,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,94,38.0,58,0,1,0,1,0.03448,0.3625,0.0,0.09039,1.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,93,51.0,58,0,1,0,1,0.03448,0.32768,0.0,0.04251,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,92,57.0,8,0,51,52,19,0.03448,0.28856,0.00297,0.02942,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,91,49.0,58,0,1,0,1,0.05172,0.36709,0.01368,0.07805,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,90,1.0,16,0,43,40,21,0.15517,0.44275,0.06699,0.2388,0.11111
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,89,34.0,4,0,55,55,26,0.03448,0.32044,0.0,0.04926,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,88,53.0,56,0,3,2,3,0.03448,0.30851,0.0,0.03726,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,87,24.0,16,0,43,40,27,0.03448,0.31868,0.0,0.05147,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,86,4.0,6,0,53,57,26,0.12069,0.42963,0.03627,0.18726,0.09524
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,85,12.0,58,0,1,0,1,0.05172,0.38158,0.00369,0.1193,0.33333
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,84,23.0,24,0,35,26,17,0.06897,0.39456,0.01854,0.10023,0.16667
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,83,14.0,8,0,51,26,27,0.06897,0.40278,0.02133,0.12787,0.33333
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,82,30.0,9,0,50,45,28,0.05172,0.35583,0.02175,0.06486,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,81,53.0,52,0,7,2,3,0.03448,0.30851,0.0,0.03726,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,80,35.0,15,0,44,26,19,0.03448,0.31351,0.0,0.03568,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,79,14.0,19,0,40,41,16,0.06897,0.40278,0.01285,0.12787,0.33333
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,78,49.0,58,0,1,0,1,0.05172,0.36709,0.01749,0.07805,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,77,40.0,58,0,1,0,1,0.03448,0.31351,0.0,0.05652,1.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,76,15.0,11,0,48,70,21,0.03448,0.34731,0.0,0.0668,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,75,1.0,11,0,48,42,25,0.15517,0.44275,0.09916,0.2388,0.11111
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,74,6.0,58,0,1,0,1,0.08621,0.38667,0.02319,0.13739,0.1
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,73,32.0,58,0,1,0,1,0.03448,0.32044,0.00268,0.0533,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,72,38.0,22,0,37,33,14,0.03448,0.3625,0.0,0.09039,1.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,71,44.0,58,0,1,0,1,0.03448,0.34118,0.01319,0.05711,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,70,42.0,58,0,1,0,1,0.03448,0.36709,0.0,0.09538,1.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,69,14.0,20,0,39,51,20,0.06897,0.40278,0.01874,0.12787,0.33333
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,68,30.0,10,0,49,43,22,0.05172,0.35583,0.00268,0.06486,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,67,35.0,4,0,55,70,27,0.03448,0.31351,0.00238,0.03568,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,66,36.0,18,0,41,27,16,0.05172,0.39189,0.00877,0.11999,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,65,43.0,58,0,1,0,1,0.03448,0.30526,0.00051,0.03159,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,64,43.0,16,0,43,17,14,0.03448,0.30526,0.00178,0.03159,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,63,39.0,54,0,5,2,3,0.05172,0.32044,0.01117,0.05825,0.33333
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,62,54.0,7,0,52,35,18,0.03448,0.35366,0.0,0.0852,1.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,61,24.0,58,0,1,0,1,0.03448,0.31868,0.0,0.05147,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,60,7.0,58,0,1,0,1,0.12069,0.43939,0.11781,0.19054,0.09524
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,59,12.0,14,0,45,41,18,0.05172,0.38158,0.01256,0.1193,0.33333
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,58,53.0,16,0,43,51,18,0.03448,0.30851,0.0,0.03726,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,57,1.0,32,0,27,37,14,0.15517,0.44275,0.01948,0.2388,0.11111
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,56,37.0,55,0,4,1,2,0.05172,0.31868,0.06211,0.03908,0.33333
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,55,1.0,53,0,6,7,4,0.15517,0.44275,0.10386,0.2388,0.11111
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,54,45.0,13,0,46,48,21,0.03448,0.3625,0.0,0.08209,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,53,4.0,57,0,2,1,2,0.12069,0.42963,0.0352,0.18726,0.09524
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,52,34.0,58,0,1,0,1,0.03448,0.32044,0.00256,0.04926,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,51,42.0,57,0,2,1,2,0.03448,0.36709,0.0,0.09538,1.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,50,1.0,20,0,39,46,19,0.15517,0.44275,0.09192,0.2388,0.11111
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,49,38.0,9,0,50,53,24,0.03448,0.3625,0.0,0.09039,1.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,48,29.0,11,0,48,31,14,0.05172,0.32584,0.05903,0.06653,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,47,38.0,58,0,1,0,1,0.03448,0.3625,0.0,0.09039,1.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,46,43.0,58,0,1,0,1,0.03448,0.30526,0.0,0.03159,0.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,45,21.0,58,0,1,0,1,0.03448,0.33143,0.0,0.0566,1.0
Simul_FB04-Facebook04-barabasi_albert,100,142.18905,barabasi_albert,59,114,0.06663,5,3,0.5,0.5,40,,3.86441,2.7931,44,20.0,9,0,50,48,31,0.10345,0.4,0.05717,0.12121,0.13333
