simulation_name,num_simulations,elapsed_time,netowrk_model,number_of_nodes,number_of_edges,density,diameter,radius,gamma,beta,tmax,R0,average_degree,average_shortest_path,iteration_number,node,S,I,R,max_infection_time,max_infection_len,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering_coefficient
Simul_HAVERFORD_2-Haverford76-erdos_renyi,100,4296.81314,erdos_renyi_gnp,1446,59309,0.05677,3,2,0.5,0.5,40,,82.03181,1.95202,100,292.0,0,0,1446,1500,1339,0.05467,0.51132,0.00045,0.02514,0.0594
Simul_HAVERFORD_2-Haverford76-erdos_renyi,100,4296.81314,erdos_renyi_gnp,1446,59309,0.05677,3,2,0.5,0.5,40,,82.03181,1.95202,99,1148.0,0,0,1446,1491,1358,0.05536,0.51223,0.00068,0.02477,0.05506
Simul_HAVERFORD_2-Haverford76-erdos_renyi,100,4296.81314,erdos_renyi_gnp,1446,59309,0.05677,3,2,0.5,0.5,40,,82.03181,1.95202,98,942.0,0,0,1446,1499,1368,0.06505,0.51589,0.00069,0.02956,0.05193
Simul_HAVERFORD_2-Haverford76-erdos_renyi,100,4296.81314,erdos_renyi_gnp,1446,59309,0.05677,3,2,0.5,0.5,40,,82.03181,1.95202,97,883.0,0,0,1446,1528,1337,0.0609,0.51332,0.00069,0.02776,0.05094
Simul_HAVERFORD_2-Haverford76-erdos_renyi,100,4296.81314,erdos_renyi_gnp,1446,59309,0.05677,3,2,0.5,0.5,40,,82.03181,1.95202,96,1120.0,0,0,1446,1511,1358,0.05052,0.5106,0.00035,0.02319,0.05365
Simul_HAVERFORD_2-Haverford76-erdos_renyi,100,4296.81314,erdos_renyi_gnp,1446,59309,0.05677,3,2,0.5,0.5,40,,82.03181,1.95202,95,336.0,0,0,1446,1519,1346,0.05398,0.51169,0.00066,0.02479,0.05694
Simul_HAVERFORD_2-Haverford76-erdos_renyi,100,4296.81314,erdos_renyi_gnp,1446,59309,0.05677,3,2,0.5,0.5,40,,82.03181,1.95202,94,90.0,0,0,1446,1531,1342,0.0526,0.51187,0.00063,0.02426,0.05088
Simul_HAVERFORD_2-Haverford76-erdos_renyi,100,4296.81314,erdos_renyi_gnp,1446,59309,0.05677,3,2,0.5,0.5,40,,82.03181,1.95202,93,790.0,0,0,1446,1507,1360,0.05882,0.5135,0.00068,0.02684,0.0619
Simul_HAVERFORD_2-Haverford76-erdos_renyi,100,4296.81314,erdos_renyi_gnp,1446,59309,0.05677,3,2,0.5,0.5,40,,82.03181,1.95202,92,922.0,0,0,1446,1493,1342,0.05329,0.51169,0.00043,0.0247,0.054
Simul_HAVERFORD_2-Haverford76-erdos_renyi,100,4296.81314,erdos_renyi_gnp,1446,59309,0.05677,3,2,0.5,0.5,40,,82.03181,1.95202,91,1143.0,0,0,1446,1504,1351,0.05536,0.51096,0.00054,0.02479,0.05095
